json_filename,road_N,road_NE,road_E,road_SE,road_S,road_SW,road_W,road_NW,track_N,track_NE,track_E,track_SE,track_S,track_SW,track_W,track_NW
locationnew-randomfarm40-48.json,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
locationnew-randomfarm74-53.json,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
locationnew-randomfarm37-38.json,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
locationnew-randomfarm110-20.json,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
locationnew-randomfarm0-16.json,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
locationnew-randomfarm46-23.json,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
locationnew-randomfarm69-51.json,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
locationnew-randomfarm173-40.json,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
locationnew-randomfarm172-39.json,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
locationnew-randomfarm14-42.json,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
locationnew-randomfarm325-51.json,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
locationnew-randomfarm144-16.json,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
locationnew-randomfarm160-20.json,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
locationnew-randomfarm132-23.json,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
locationnew-randomfarm165-17.json,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
locationnew-randomfarm87-48.json,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
locationnew-randomfarm119-5.json,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
locationnew-randomfarm32-34.json,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
locationnew-randomfarm32-44.json,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
locationnew-randomfarm220-51.json,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
locationnew-randomfarm441-16.json,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
locationnew-randomfarm38-5.json,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
locationnew-randomfarm19-45.json,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
locationnew-randomfarm68-39.json,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
locationnew-randomfarm43-35.json,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
locationnew-randomfarm356-17.json,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
locationnew-randomfarm199-40.json,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
locationnew-randomfarm374-17.json,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
locationnew-randomfarm33-5.json,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
locationnew-randomfarm154-16.json,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
locationnew-randomfarm248-21.json,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
locationnew-randomfarm133-0.json,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
locationnew-randomfarm19-60.json,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
locationnew-randomfarm315-1.json,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
locationnew-randomfarm121-52.json,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
locationnew-randomfarm164-60.json,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
locationnew-randomfarm22-55.json,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
locationnew-randomfarm337-16.json,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
locationnew-randomfarm120-16.json,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
locationnew-randomfarm243-5.json,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
locationnew-randomfarm324-16.json,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
locationnew-randomfarm66-50.json,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
locationnew-randomfarm122-51.json,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
locationnew-randomfarm392-16.json,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
locationnew-randomfarm30-32.json,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
locationnew-randomfarm80-16.json,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
locationnew-randomfarm104-39.json,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
locationnew-randomfarm110-42.json,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
locationnew-randomfarm174-60.json,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
locationnew-randomfarm4-36.json,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
locationnew-randomfarm67-38.json,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
locationnew-randomfarm64-20.json,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
locationnew-randomfarm2-59.json,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
locationnew-randomfarm107-17.json,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
locationnew-randomfarm44-47.json,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
locationnew-randomfarm470-16.json,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
locationnew-randomfarm69-40.json,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
locationnew-randomfarm1-57.json,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
locationnew-randomfarm5-37.json,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
locationnew-randomfarm101-16.json,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
locationnew-randomfarm0-38.json,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
locationnew-randomfarm19-1.json,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
locationnew-randomfarm152-5.json,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
locationnew-randomfarm475-16.json,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
locationnew-randomfarm115-21.json,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
locationnew-randomfarm125-51.json,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
locationnew-randomfarm199-51.json,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
locationnew-randomfarm122-0.json,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
locationnew-randomfarm75-11.json,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
locationnew-randomfarm31-5.json,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
locationnew-randomfarm104-5.json,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
locationnew-randomfarm85-20.json,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
locationnew-randomfarm165-40.json,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
locationnew-randomfarm249-16.json,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
locationnew-randomfarm22-58.json,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
locationnew-randomfarm7-45.json,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
locationnew-randomfarm66-33.json,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
locationnew-randomfarm49-58.json,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
locationnew-randomfarm69-33.json,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
